Previous,Up,Right,Down,Left,Next
R,W,0,0,0,L
D,0,W,0,W,D
U,0,W,0,W,U
D,0,W,0,W,D
R,W,C,W,0,L
D,0,0,0,C,D
D,0,W,0,W,D
R,W,W,W,0,L
L,W,0,W,0,L
R,W,0,W,0,R
L,W,0,W,0,L
D,0,0,0,0,D
U,0,0,0,W,U
D,0,W,0,0,L
L,0,0,W,0,L
D,0,W,0,W,D
D,0,0,0,0,D
L,0,0,W,W,U
L,W,0,W,W,R
R,W,0,W,0,R
L,W,0,0,W,D
D,0,W,0,W,D
U,0,W,0,W,U
L,W,0,W,0,L
L,W,0,W,0,L
D,0,0,0,0,D
U,0,W,0,W,U
D,0,W,0,W,D
R,W,0,W,0,L
R,W,0,W,0,R
D,0,W,0,W,D
D,0,0,0,W,D
U,0,0,0,0,U
L,W,0,0,0,L
L,0,0,0,W,D
D,0,W,0,W,D
U,0,0,0,W,D
D,0,0,0,0,D
L,W,0,W,W,R
R,W,0,W,0,R
D,0,0,0,W,R
U,0,W,0,W,U
D,0,W,0,W,D
L,W,0,W,0,L
D,0,W,W,W,U
D,0,W,0,W,U
D,0,0,0,0,D
D,0,W,0,W,D
R,W,0,W,0,R
R,W,0,W,0,R
R,W,0,W,0,L
U,0,0,0,0,U
D,0,0,0,0,D
U,0,0,0,W,U
L,W,0,0,W,R
U,0,0,0,0,U
D,0,W,0,W,U
D,0,0,W,W,R
R,W,W,W,0,L
R,W,0,W,0,R
L,0,0,0,W,U
U,0,W,0,W,U
D,0,W,0,W,D
U,0,W,0,W,U
R,W,0,W,0,R
U,0,W,0,W,U
U,0,0,0,0,U
R,W,W,W,0,L
L,W,0,W,0,L
R,W,0,W,0,L
U,0,W,0,W,U
U,0,0,0,0,R
U,0,0,0,W,U
D,0,0,0,0,D
R,W,0,0,0,R
U,0,0,0,0,U
U,0,W,0,W,U
L,0,0,W,W,U
L,W,0,W,W,R
L,W,0,W,0,L
U,W,0,0,W,D
R,W,0,W,0,R
U,0,W,0,W,U
D,0,W,0,W,S
R,W,0,W,0,R
U,0,0,0,0,L
U,0,W,0,W,U
R,W,0,W,0,R
L,W,0,W,0,L
U,0,W,0,W,U
D,0,W,0,W,D
R,0,0,0,0,R
U,0,0,0,0,U
R,0,W,0,0,L
U,C,0,0,0,S
U,C,0,0,0,D
U,0,0,0,W,U
R,W,W,W,0,L
L,W,0,W,0,L
D,0,0,0,W,R
R,W,0,W,0,R
U,0,W,0,W,U
L,W,0,W,0,L
D,C,W,0,W,S
D,C,W,0,W,D
U,W,W,0,W,D
L,W,0,W,0,L
L,W,0,W,0,L
R,W,0,W,0,R
R,0,W,0,0,U
U,0,0,0,0,R
L,W,0,0,0,L
D,C,0,0,0,S
D,C,0,0,0,D
D,0,0,0,W,D
L,W,0,W,W,R
L,W,0,W,0,L
R,0,0,0,0,R
U,0,W,0,W,U
R,W,0,W,0,R
L,W,0,W,0,L
D,C,W,0,W,S
D,C,W,0,W,D
D,0,0,0,0,D
D,0,W,0,W,D
R,W,0,W,0,R
L,W,0,W,0,R
R,W,0,W,0,R
U,0,0,0,0,U
R,0,0,0,0,R
L,W,0,0,W,R
D,C,0,0,0,S
D,0,0,W,W,U
D,C,0,0,0,D
R,W,W,W,0,L
D,0,W,0,W,D
R,W,0,W,0,R
R,0,0,0,0,R
U,0,W,0,W,U
R,W,0,W,0,R
R,W,0,W,0,R
U,0,W,0,W,U
D,C,W,0,W,S
D,BOOM,0,0,0,U
D,C,W,0,W,D
L,W,0,W,0,L
R,W,0,W,0,R
R,W,0,W,0,R
U,0,0,0,0,U
R,0,0,0,0,R
R,W,0,0,0,R
U,0,0,0,W,U
U,0,W,0,W,U
D,C,0,W,0,S
D,C,0,W,0,R
L,W,0,W,W,R
R,W,0,W,0,R
R,0,0,W,0,R
U,0,W,0,W,U
R,W,0,W,0,R
R,W,0,W,0,R
U,0,0,0,0,U
U,W,W,0,W,D
R,W,0,W,C,S
R,W,0,W,C,R
R,W,0,W,0,L
R,W,0,W,0,R
R,W,0,W,0,R
U,0,0,0,0,U
R,0,0,0,0,R
R,0,W,0,0,L
U,0,W,0,W,U
D,0,0,0,W,D
R,W,0,0,C,S
R,W,0,0,C,R
L,W,0,W,W,R
R,W,0,W,0,R
R,0,0,W,0,R
U,0,W,0,W,U
R,W,W,W,0,L
L,W,0,W,0,L
U,0,0,0,0,U
D,0,W,0,W,D
R,W,W,W,C,S
R,W,0,W,0,R
S,W,C,0,0,D
R,W,0,W,0,R
R,W,0,W,0,L
U,W,0,0,0,R
L,0,0,0,0,L
L,W,0,0,0,R
U,0,W,0,W,U
D,0,0,W,W,U
R,W,W,W,0,L
D,0,W,W,W,S
R,W,0,W,0,R
S,W,W,W,0,L
L,0,0,W,0,L
R,W,0,W,0,R
L,W,0,W,0,L
U,0,0,0,0,U
R,W,0,W,0,R
U,0,W,0,W,U
L,W,0,C,0,L
L,W,0,C,0,S
L,W,0,W,0,L
R,0,0,W,0,R
L,W,0,W,0,R
R,0,0,0,0,R
L,0,0,0,0,L
U,0,W,0,W,U
R,0,W,0,0,L
U,0,0,0,W,U
L,W,C,W,0,L
L,W,0,W,W,R
S,W,0,0,C,D
R,W,0,W,0,R
R,0,0,W,0,R
R,W,0,W,0,R
L,W,0,W,0,L
U,0,W,0,0,U
L,W,0,W,0,L
U,W,W,0,W,D
L,0,0,W,0,U
D,0,W,W,W,U
R,W,0,W,0,R
R,0,0,W,0,R
R,W,0,W,0,R
R,0,W,0,0,D
L,0,0,0,0,U
U,0,W,0,W,U
L,W,0,0,0,R
U,0,W,0,W,U
D,0,0,0,W,D
U,W,0,0,0,L
R,W,W,W,0,L
R,W,0,W,0,R
R,0,0,0,0,R
D,0,W,W,W,U
U,0,W,0,W,U
U,0,0,0,0,U
R,W,0,W,0,L
U,0,0,0,0,U
D,0,W,0,W,D
L,W,0,W,0,L
L,W,0,W,0,L
R,W,0,W,0,R
R,W,0,W,0,L
U,0,W,0,0,U
U,0,0,0,0,U
U,0,W,0,W,U
L,W,0,0,0,L
U,0,W,0,W,U
D,0,0,W,W,R
L,0,0,W,0,L
L,W,0,W,W,R
R,W,0,W,0,R
L,0,0,0,0,L
U,W,W,0,W,S
U,0,W,0,W,U
U,0,0,0,0,L
L,W,0,W,0,L
U,0,0,0,0,R
R,W,W,W,0,L
L,W,0,W,0,L
R,W,0,W,0,R
R,W,W,W,0,L
S,W,W,0,W,D
U,W,0,0,0,L
L,W,0,W,0,L
L,W,0,0,W,R
R,W,0,W,0,R
L,0,0,W,W,U
L,0,0,0,0,L
R,W,W,W,0,L
L,W,0,W,0,L
D,0,W,0,0,D
L,W,0,W,0,L
L,0,0,0,0,U
R,W,0,W,0,R
R,0,0,0,0,R
